window_start,window_end,window_days,repository_id,repository,category,days_expected,days_available,coverage_pct,coverage_complete,clones_total,views_total,clones_unique_repo_day_sum,views_unique_repo_day_sum,clone_active_days,view_active_days,clone_only_days,view_only_days,mixed_days,inactive_days,clones_per_repo_day_unique,views_per_repo_day_unique,clone_to_view_ratio
2026-09-10,2026-09-23,14,core,OrbitFabric/orbitfabric,core,14,14,100.0,True,2317,24,551,5,14,3,11,0,3,0,4.21,4.8,96.54
2026-09-10,2026-09-23,14,studio,OrbitFabric/orbitfabric-studio,product,14,14,100.0,True,646,7,244,3,14,3,11,0,3,0,2.65,2.33,92.29
2026-09-10,2026-09-23,14,reference-mission,OrbitFabric/orbitfabric-reference-mission,product,14,14,100.0,True,238,4,118,2,13,2,11,0,2,1,2.02,2.0,59.5
2026-09-10,2026-09-23,14,openobsw-opensvf-adapter,OrbitFabric/orbitfabric-openobsw-opensvf-adapter,adapter,14,14,100.0,True,123,4,56,2,9,2,9,2,0,3,2.2,2.0,30.75
2026-09-10,2026-09-23,14,openc3-cosmos-adapter,OrbitFabric/orbitfabric-openc3-cosmos-adapter,adapter,14,14,100.0,True,226,0,82,0,10,0,10,0,0,4,2.76,,
2026-09-10,2026-09-23,14,fprime-adapter,OrbitFabric/orbitfabric-fprime-adapter,adapter,14,14,100.0,True,502,47,168,3,13,3,10,0,3,1,2.99,15.67,10.68
