date,repository_id,repository,category,default_branch,commits_total,first_party_commits,automation_commits,other_commits,workflow_runs_total,workflow_runs_success,workflow_runs_failure,workflow_runs_other
2026-08-26,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-26,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-26,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-26,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-08-26,studio,FAROTECH/orbitfabric-studio,product,main,3,3,0,0,4,3,0,1
2026-08-27,core,FAROTECH/orbitfabric,core,main,1,1,0,0,2,2,0,0
2026-08-27,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-27,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-27,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-27,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,2,2,0,0,3,3,0,0
2026-08-27,studio,FAROTECH/orbitfabric-studio,product,main,5,5,0,0,5,5,0,0
2026-08-28,core,FAROTECH/orbitfabric,core,main,3,3,0,0,6,6,0,0
2026-08-28,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-28,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-28,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-28,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,1,1,0,0,1,1,0,0
