url_path,views_total,views_unique
/FAROTECH/orbitfabric,14,5
/FAROTECH/orbitfabric/pulse,4,1
/FAROTECH/orbitfabric/graphs/traffic,3,1
/FAROTECH/orbitfabric/actions/runs/34865399059,2,1
/FAROTECH/orbitfabric/actions/runs/34865399059/job/104048017890,2,1
/FAROTECH/orbitfabric/blob/main/examples/demo-3u/scenarios/battery_low_during_payload.yaml,2,1
/FAROTECH/orbitfabric/tree/main/examples/demo-3u,2,1
/FAROTECH/orbitfabric/tree/main/examples/demo-3u/scenarios,2,1
/FAROTECH/orbitfabric/actions,1,1
/FAROTECH/orbitfabric/actions/workflows/pages.yml,1,1
