time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-22 00:00:00+00:00,80,1,0,0
2026-08-23 00:00:00+00:00,24,1,3,1
2026-08-24 00:00:00+00:00,33,2,0,0
2026-08-25 00:00:00+00:00,3,2,0,0
2026-08-26 00:00:00+00:00,289,65,15,1
2026-08-27 00:00:00+00:00,152,23,0,0
2026-08-28 00:00:00+00:00,207,37,84,1
2026-08-29 00:00:00+00:00,8,5,2,2
2026-08-30 00:00:00+00:00,1,1,2,2
2026-08-31 00:00:00+00:00,11,3,8,2
2026-09-01 00:00:00+00:00,55,10,1,1
2026-09-02 00:00:00+00:00,910,230,0,0
2026-09-03 00:00:00+00:00,1618,535,0,0
2026-09-04 00:00:00+00:00,1305,456,24,2
