time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-29 00:00:00+00:00,8,5,2,2
2026-08-30 00:00:00+00:00,1,1,2,2
2026-08-31 00:00:00+00:00,11,3,8,2
2026-09-01 00:00:00+00:00,55,10,1,1
2026-09-02 00:00:00+00:00,910,230,0,0
2026-09-03 00:00:00+00:00,1618,535,0,0
2026-09-04 00:00:00+00:00,1305,456,24,2
2026-09-05 00:00:00+00:00,509,251,20,1
2026-09-06 00:00:00+00:00,713,300,1,1
2026-09-07 00:00:00+00:00,508,191,4,1
2026-09-08 00:00:00+00:00,315,43,10,2
2026-09-09 00:00:00+00:00,35,7,0,0
2026-09-10 00:00:00+00:00,65,23,0,0
2026-09-11 00:00:00+00:00,86,21,0,0
